round	mode	prog_id	app	runner	prog_name	prog_type	verdict	phase	rc	errno	duration_ms	opt_sha256	insn_before	insn_after	sites_applied	summary
1	kinsn5	26	bcc/vfsstat	bcc	vfs_read	tracing	rejected	bpfverify	1		14	cf8a452276eac27e5358c748179db31dcf9f719f54c775e3ee0c199a8cdc0721	11	11	0	processed 0 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	27	bcc/vfsstat	bcc	vfs_write	tracing	rejected	bpfverify	1		14	f3d4999bcb95d04d02bfa5e63c2f0a5f1213cbd67f32788d9ff8a4783cf5c260	12	12	0	processed 0 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	30	bcc/opensnoop	bcc	__x64_sys_open	tracing	rejected	bpfverify	1		14	71377bb0f37468dcaeaa4b207a015fc0af98464da613dcd36227ea5165f355d3	75	75	0	0: R1=ctx() R10=fp0 | 0: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 1: (79) r1 = *(u64 *)(r6 +0)          ; R1_w=scalar() R6_w=ctx() | 2: (79) r8 = *(u64 *)(r1 +112) | R1 invalid mem access 'scalar' | processed 3 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	31	bcc/opensnoop	bcc	__x64_sys_opena	tracing	rejected	bpfverify	1		17	c6b1c93e48a44fb94c99145c98b77ab8d311e79303e0e060e4e1984cb720b7b4	75	75	0	0: R1=ctx() R10=fp0 | 0: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 1: (79) r1 = *(u64 *)(r6 +0) | 2: R1_w=ptr_acpi_pci_id() R6_w=ctx() | 2: (79) r8 = *(u64 *)(r1 +104) | processed 3 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	32	bcc/opensnoop	bcc	__x64_sys_opena	tracing	rejected	bpfverify	1		16	eed60289aa1b4b1c9909efbc79d2dcc1500f2fe22e2e594ff799b59e41dd9bdc	80	80	0	processed 0 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	35	bcc/syscount	bcc	raw_syscalls__s	tracepoint	accepted	bpfverify	0		18	cd9fffa035939ae65ec5e853c12ec53de20799b70700ff6c8085258c1d5ab75a	14	14	0	
1	kinsn5	36	bcc/syscount	bcc	raw_syscalls__s	tracepoint	accepted	bpfverify	0		15	e710dab81d5024100c50242721c91f7f550f908768f33b0d28a08eeb7166f8a0	44	44	0	
1	kinsn5	39	bcc/tcpconnect	bcc	trace_connect_e	kprobe	accepted	bpfverify	0		15	1ca41778973f7f924a69d54b05daeab6a40cd9a3cb5b97481c496a168c3fa76b	15	15	0	
1	kinsn5	40	bcc/tcpconnect	bcc	trace_connect_v	kprobe	accepted	bpfverify	0		15	38485bbf9ea546bfcf5b9ac4d432b7a6fb694eec47ea2301d4c8f963b2485315	88	88	0	
1	kinsn5	41	bcc/tcpconnect	bcc	trace_connect_v	kprobe	accepted	bpfverify	0		14	e7308619e2050a019b053648ecd149c03c39c49280b100c446130c12db67bf7a	87	87	0	
1	kinsn5	44	bcc/tcplife	bcc	sock__inet_sock	tracepoint	accepted	bpfverify	0		18	ffbdb2f7490b0c3aacc0d7ce8d205852042db2d799b79944d6f5f6795ae18c7b	205	205	0	
1	kinsn5	47	bcc/runqlat	bcc	sched_switch	raw_tracepoint	accepted	bpfverify	0		14	f4a5e961aa084be338de04a8e4f2fa43e2a6e7d557648b00a65e318f733a2aea	138	138	0	
1	kinsn5	48	bcc/runqlat	bcc	sched_wakeup	raw_tracepoint	accepted	bpfverify	0		16	fdbbd7a36ac9572959321b6dd652b70542036172e92b6f27c0e9eb09646996f7	31	31	0	
1	kinsn5	49	bcc/runqlat	bcc	sched_wakeup_ne	raw_tracepoint	accepted	bpfverify	0		15	fdbbd7a36ac9572959321b6dd652b70542036172e92b6f27c0e9eb09646996f7	31	31	0	
1	kinsn5	102	calico/felix	calico	conntrack_clean	sched_cls	rejected	bpfverify	1		31	4609c55d1f25c63d7cf651ead4143e76a943fa4f4235eb505fdfb3bc6ad53542	183	183	0	0: R1=ctx() R10=fp0 | 0: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 1: (b7) r1 = 0                        ; R1_w=0 | 2: (7b) *(u64 *)(r10 -8) = r1         ; R1_w=0 R10=fp0 fp-8_w=0 | 3: (7b) *(u64 *)(r10 -16) = r1        ; R1_w=0 R10=fp0 fp-16_w=0 | 4: (7b) *(u64 *)(r10 -24) = r1        ; R1_w=0 R10=fp0 fp-24_w=0 | 5: (bf) r3 = r10                      ; R3_w=fp0 R10=fp0 | 7: (bf) r1 = r6                       ; R1_w=ctx() R6_w=ctx()
1	kinsn5	105	calico/felix	calico	cali_tcx_test	sched_cls	accepted	bpfverify	0		19	f03f3c893109830ef282e5056a242b0ac12c0ff2ed71761947efcfde1f5332cd	3	3	0	
1	kinsn5	113	calico/felix	calico	calico_tc_allow	sched_cls	accepted	bpfverify	0		22	cf7729c8d33f01c69e4e320a2c13ba3dcf1a6857cdcf8d3b29c0653eff9e9f9b	27	27	0	
1	kinsn5	114	calico/felix	calico	calico_tc_deny	sched_cls	accepted	bpfverify	0		18	c2a9f7da3d35e6b8f1280f983300db4b566d18439ce015ef9708bbe4de515eee	27	27	0	
1	kinsn5	116	calico/felix	calico	calico_tc_allow	sched_cls	accepted	bpfverify	0		15	f46a9b149f877ec79414022726d0390164fbd9428f5ba607719598242ec0466d	27	27	0	
1	kinsn5	117	calico/felix	calico	calico_tc_deny	sched_cls	accepted	bpfverify	0		14	6b6540ad47dbe0efe86388d5ee9ba2be22bfa0962be4155836b65d318b6f8235	27	27	0	
1	kinsn5	120	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_sto	perf_event	accepted	bpfverify	0		36	db5878fd7f8ac99b238ec88249170f8fe2d3e29b4217c0e14bc227a429fb8f65	1634	1634	0	
1	kinsn5	121	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_nat	perf_event	unverifiable	bpfverify	1		23	3d3d7946fe38237be7d5fd13169f5aacf4722effa8b8840963d7e7fd0234de8e	7014	7014	0	create dummy BPF map id 480 type 13 key_size 8 value_size 4 max_entries 65536 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/121/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	122	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_hot	perf_event	unverifiable	bpfverify	1		24	a7f3adc19c354db0b83b4bdb9d328ca68a3e4962785b3e26f03067e73124b394	7589	7589	0	create dummy BPF map id 455 type 11 key_size 16 value_size 16 max_entries 1048576 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/122/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	123	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_per	perf_event	accepted	bpfverify	0		212	6bc417f9a34d61ab9a6e3506c4a06cc39eab4cbbcce2d994b54093c7b45a860b	7396	7396	0	
1	kinsn5	124	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_php	perf_event	unverifiable	bpfverify	1		22	b5ce633c0388d70508d0b411844cd993cb6355653de6749c9a88452a7d1bf262	6934	6934	0	create dummy BPF map id 455 type 11 key_size 16 value_size 16 max_entries 1048576 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/124/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	125	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_pyt	perf_event	accepted	bpfverify	0		90	d7064108d5182de2391ac2ae74749f94a95770e0607c7a1140e29adf96f40357	5869	5869	0	
1	kinsn5	126	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_rub	perf_event	accepted	bpfverify	0		75	1cd704cbd01f331035306b63ee42f5d790a84b88e04d0c2c260c575caf151ac8	5178	5178	0	
1	kinsn5	127	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_v8	perf_event	unverifiable	bpfverify	1		25	5a68273d4d4f12ad54990410475c6cba991185979380cfc7a1aefeffc9ec7687	7860	7860	0	create dummy BPF map id 455 type 11 key_size 16 value_size 16 max_entries 1048576 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/127/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	128	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_dot	perf_event	unverifiable	bpfverify	1		30	eeddaa362b3bdef21c0ccfcbb26b4b58615f77078095f5e46547d402414a5fbd	7584	7584	0	create dummy BPF map id 455 type 11 key_size 16 value_size 16 max_entries 1048576 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/128/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	129	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_go_labels	perf_event	accepted	bpfverify	0		81	fabf32dd51929cb1d490cfc6f17e4fbaf3f60e2eda5222d5f14d2fe1829789d3	679	679	0	
1	kinsn5	130	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	perf_unwind_bea	perf_event	accepted	bpfverify	0		16	c2ebf840982e1fa8c1e6d8eea1beb8b7110b85795196c50a3c103e99b737afc9	242	242	0	
1	kinsn5	131	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	tracepoint__sch	tracepoint	unverifiable	bpfverify	1		11	a5b366e412cfd3eeadc3516d3dc56914f9301b2b08d3d0ac904259dcf4e11853	283	283	0	create dummy BPF map id 455 type 11 key_size 16 value_size 16 max_entries 1048576 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/131/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	132	otelcol-ebpf-profiler/profiling	otelcol-ebpf-profiler	native_tracer_e	perf_event	unverifiable	bpfverify	1		15	8ec563a276a12a81bc859f4b3d5cd0b371cd41637e0182342a2abed50eb3a508	1315	1315	0	create dummy BPF map id 455 type 11 key_size 16 value_size 16 max_entries 1048576 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/132/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	140	cilium/agent	cilium	dump_bpf_map	tracing	rejected	bpfverify	1		15	94c2e088e09df0e3e17b8c1470822051c21c7f34ba8bb0fb497665c4dae8f6de	35	35	0	processed 0 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	141	cilium/agent	cilium	dump_bpf_prog	tracing	rejected	bpfverify	1		16	22629a5600a5ba993e6d3a02d92167372c33f20b85fe190e000c66c065059fab	65	65	0	processed 0 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	213	cilium/agent	cilium	tail_handle_ipv	sched_cls	unverifiable	bpfverify	1		11	a621fea993158f674ef15f4db93afc6e9036414a6cd73b16a740edbabfc8b6c9	227	227	0	create dummy BPF map id 549 type 11 key_size 24 value_size 24 max_entries 512000 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/213/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	214	cilium/agent	cilium	tail_drop_notif	sched_cls	rejected	bpfverify	1		16	073e40d7865a1f2ed2f116287b2a51b79d110a33c6338c829a0ccf5dba353d79	96	96	0	0: R1=ctx() R10=fp0 | 1: (61) r2 = *(u32 *)(r1 +56)         ; R1=ctx() R2_w=scalar(smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) | 2: (63) *(u32 *)(r10 -56) = r2        ; R2_w=scalar(id=1,smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) R10=fp0 fp-56=????scalar(id=1,smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) | 7: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 8: (b4) w1 = 0                        ; R1_w=0 | 9: (63) *(u32 *)(r10 -48) = r1        ; R1_w=0 R10=fp0 fp-48=????0 | 10: (bf) r2 = r10                     ; R2_w=fp0 R10=fp0 | 12: (18) r1 = 0xdeadc0de              ; R1_w=0xdeadc0de
1	kinsn5	215	cilium/agent	cilium	cil_host_policy	sched_cls	accepted	bpfverify	0		15	691ef55febf784323bf2e7f34324a93a5c524c2f746c6fd0915b99a393c14930	2	2	0	
1	kinsn5	217	cilium/agent	cilium	cil_from_host	sched_cls	unverifiable	bpfverify	1		11	300bef34ec26dcae5892bb27c122eb201984be417e7705f9e5c4082b3d9faf3b	1194	1194	0	create dummy BPF map id 549 type 11 key_size 24 value_size 24 max_entries 512000 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/217/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	218	cilium/agent	cilium	tail_handle_ipv	sched_cls	accepted	bpfverify	0		14	652f9e49b97e71610a9305eace18b6a4262d6bd19ab2470d419d23854e6b2015	70	70	0	
1	kinsn5	219	cilium/agent	cilium	cil_to_host	sched_cls	rejected	bpfverify	1		15	39e244e7e24fc933f61a533d9579335b77b206f057ba77266a2e8715100f0aea	352	352	1	0: R1=ctx() R10=fp0 | 0: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 2: (18) r1 = 0xffff8c18861c0351       ; R1_w=map_value(map=.rodata.config,ks=4,vs=156,off=73) | 4: (71) r1 = *(u8 *)(r1 +0)           ; R1_w=scalar(smin=smin32=0,smax=umax=smax32=umax32=255,var_off=(0x0; 0xff)) | 5: (16) if w1 == 0x0 goto pc+185      ; R1_w=scalar(smin=umin=smin32=umin32=1,smax=umax=smax32=umax32=255,var_off=(0x0; 0xff)) | 6: (18) r1 = 0xdeadc0de               ; R1_w=0xdeadc0de | 8: (71) r8 = *(u8 *)(r1 +0) | R1 invalid mem access 'scalar'
1	kinsn5	221	cilium/agent	cilium	tail_handle_ipv	sched_cls	accepted	bpfverify	0		17	d58682d0e094b2cdea840441700d8bdf93da28395d9ff0cf333fbbedf9e25356	70	70	0	
1	kinsn5	222	cilium/agent	cilium	tail_drop_notif	sched_cls	rejected	bpfverify	1		14	26cb5b4585aae3ee0a88b046f434cf40c44f3b22b8c752b772e6a416d8d88489	96	96	0	0: R1=ctx() R10=fp0 | 1: (61) r2 = *(u32 *)(r1 +56)         ; R1=ctx() R2_w=scalar(smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) | 2: (63) *(u32 *)(r10 -56) = r2        ; R2_w=scalar(id=1,smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) R10=fp0 fp-56=????scalar(id=1,smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) | 7: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 8: (b4) w1 = 0                        ; R1_w=0 | 9: (63) *(u32 *)(r10 -48) = r1        ; R1_w=0 R10=fp0 fp-48=????0 | 10: (bf) r2 = r10                     ; R2_w=fp0 R10=fp0 | 12: (18) r1 = 0xdeadc0de              ; R1_w=0xdeadc0de
1	kinsn5	225	cilium/agent	cilium	tail_handle_ipv	sched_cls	unverifiable	bpfverify	1		12	5d0cd868e321c6d40f6bd791e3be5db9cc572b3d8140ef4f5d23b57313f0144d	227	227	0	create dummy BPF map id 549 type 11 key_size 24 value_size 24 max_entries 512000 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/225/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	226	cilium/agent	cilium	cil_to_host	sched_cls	rejected	bpfverify	1		15	fffbe63e90928492ef7f42965578d1187fa0f9e8765508d4921a4e124f97668e	352	352	1	0: R1=ctx() R10=fp0 | 0: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 2: (18) r1 = 0xffff8c2c659a0151       ; R1_w=map_value(map=.rodata.config,ks=4,vs=156,off=73) | 4: (71) r1 = *(u8 *)(r1 +0)           ; R1_w=scalar(smin=smin32=0,smax=umax=smax32=umax32=255,var_off=(0x0; 0xff)) | 5: (16) if w1 == 0x0 goto pc+185      ; R1_w=scalar(smin=umin=smin32=umin32=1,smax=umax=smax32=umax32=255,var_off=(0x0; 0xff)) | 6: (18) r1 = 0xdeadc0de               ; R1_w=0xdeadc0de | 8: (71) r8 = *(u8 *)(r1 +0) | R1 invalid mem access 'scalar'
1	kinsn5	231	cilium/agent	cilium	tail_handle_ipv	sched_cls	accepted	bpfverify	0		15	e90e921a70bc36e47641d49e4e02953c87b62d939b1cdbf705eb86ede10d9b96	70	70	0	
1	kinsn5	232	cilium/agent	cilium	tail_handle_ipv	sched_cls	unverifiable	bpfverify	1		11	57e50288b5227bedf756f506f5b385c99a2369f49bed1264222e46648f474984	227	227	0	create dummy BPF map id 549 type 11 key_size 24 value_size 24 max_entries 512000 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/232/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	233	cilium/agent	cilium	tail_drop_notif	sched_cls	rejected	bpfverify	1		13	580b5d720531c8067ec69a64ff74c91a18c24afa15a3637588952f4990b858c3	96	96	0	0: R1=ctx() R10=fp0 | 1: (61) r2 = *(u32 *)(r1 +56)         ; R1=ctx() R2_w=scalar(smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) | 2: (63) *(u32 *)(r10 -56) = r2        ; R2_w=scalar(id=1,smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) R10=fp0 fp-56=????scalar(id=1,smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) | 7: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 8: (b4) w1 = 0                        ; R1_w=0 | 9: (63) *(u32 *)(r10 -48) = r1        ; R1_w=0 R10=fp0 fp-48=????0 | 10: (bf) r2 = r10                     ; R2_w=fp0 R10=fp0 | 12: (18) r1 = 0xdeadc0de              ; R1_w=0xdeadc0de
1	kinsn5	236	cilium/agent	cilium	cil_from_netdev	sched_cls	unverifiable	bpfverify	1		10	b7c4d3717b9b3fef27973b54da688b43068f57147d975621b9a0b37cf2dfff56	1110	1110	0	create dummy BPF map id 549 type 11 key_size 24 value_size 24 max_entries 512000 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/236/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
1	kinsn5	251	tetragon/observer	tetragon	event_exit_acct	kprobe	accepted	bpfverify	0		24	888dea97bfe843476d269fb8f636f9a722793da061573b43a53056c58a5c0773	177	177	0	
1	kinsn5	253	tetragon/observer	tetragon	event_wake_up_n	kprobe	rejected	bpfverify	1		23	3f1f62e6723da08028867e72d14478d6e9e06224b0836f3c9b9e8e81db8eaa75	1365	1321	2	0: R1=ctx() R10=fp0 | 0: (79) r7 = *(u64 *)(r1 +112)        ; R1=ctx() R7_w=scalar() | 2: (7b) *(u64 *)(r10 -280) = r1       ; R1=ctx() R10=fp0 fp-280_w=ctx() | 6: (bf) r1 = r10                      ; R1_w=fp0 R10=fp0 | 7: (07) r1 += -272                    ; R1_w=fp-272 | 9: (85) call bpf_probe_read#4         ; R0=scalar() fp-272=????mmmm | 10: (61) r9 = *(u32 *)(r10 -272)      ; R9_w=scalar(smin=0,smax=umax=0xffffffff,var_off=(0x0; 0xffffffff)) R10=fp0 fp-272=????mmmm | 11: (7b) *(u64 *)(r10 -272) = r7      ; R7=scalar(id=1,umin=1) R10=fp0 fp-272_w=scalar(id=1,umin=1)
1	kinsn5	254	tetragon/observer	tetragon	execve_rate	tracepoint	accepted	bpfverify	0		16	30509eb1a8ab093be14d31da1625305cac399471415df4fd6abde62d32ba6383	241	241	0	
1	kinsn5	255	tetragon/observer	tetragon	execve_send	tracepoint	rejected	bpfverify	1		24	fbcccc59ce4282775c4d7067a74ba5f709e64009812142cfb738133e6b1c9156	936	936	0	0: R1=ctx() R10=fp0 | 0: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 2: (63) *(u32 *)(r10 -88) = r7        ; R7_w=0 R10=fp0 fp-88=????0 | 3: (bf) r2 = r10                      ; R2_w=fp0 R10=fp0 | 5: (18) r1 = 0xffff8c2c659a3a00       ; R1_w=map_ptr(map=execve_msg_heap,ks=4,vs=6208) | 7: (85) call bpf_map_lookup_elem#1    ; R0_w=map_value(map=execve_msg_heap,ks=4,vs=6208) | 8: (15) if r0 == 0x0 goto pc+809      ; R0_w=map_value(map=execve_msg_heap,ks=4,vs=6208) | 9: (7b) *(u64 *)(r10 -120) = r6       ; R6_w=ctx() R10=fp0 fp-120_w=ctx()
1	kinsn5	256	tetragon/observer	tetragon	event_execve	tracepoint	rejected	bpfverify	1		23	59298aa34e55937d747b99aed4eff4c064df860141639b7b0699d0bdf52548ba	2468	2468	0	processed 0 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	257	tetragon/observer	tetragon	tg_kp_bprm_comm	kprobe	accepted	bpfverify	0		21	a4037659ffb4953f1b42927b578a1a67ac79737c1f73ba54b39fd1b3ee634f6e	292	292	0	
1	kinsn5	258	tetragon/observer	tetragon	execve_map_upda	socket_filter	rejected	bpfverify	1		18	c2d05ac37bd1fc266e206b9259ddea542b191de1ec1305104edafd45bf778275	55	55	0	processed 0 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	261	tetragon/observer	tetragon	generic_kprobe_	kprobe	accepted	bpfverify	0		21	ef1354c7d5432745c28b2b2aae548dcc18f335d0b4c11edbaba57c7f908b66b1	380	380	0	
1	kinsn5	262	tetragon/observer	tetragon	generic_kprobe_	kprobe	unverifiable	bpfverify	1		20	38245d1c05a1ee887d1266dcb9588d3e9e6cc75abc4a176bd6e42b99daaaaa8c	2174	2174	0	create dummy BPF map id 888 type 12 key_size 4 value_size 4 max_entries 8 from /home/yunwei37/workspace/bpf-benchmark/corpus/results/x86_kvm_corpus_20260430_193236_794969/details/workdirs/262/map_fds.json: BPF_MAP_CREATE: Invalid argument (os error 22)
