id	category	venue_or_source	title	local_source	public_url	status	notes
fetchbpf-2024	paper	USENIX ATC 2024	FetchBPF: Customizable Prefetching Policies in Linux with eBPF	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/fetchbpf-2024-atc.pdf	https://www.usenix.org/system/files/atc24-cao.pdf	downloaded	eBPF-programmable Linux page prefetch policy.
grp-2003	paper	ISCA 2003	Guided Region Prefetching: A Cooperative Hardware/Software Approach	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/grp-2003-isca.pdf	https://www.cs.utexas.edu/ftp/dburger/papers/ISCA03_prefetch.pdf	downloaded	Compiler hints controlling hardware region prefetching.
bingo-2019	paper	HPCA 2019	Bingo Spatial Data Prefetcher	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/bingo-2019-hpca.pdf	https://www.cs.cmu.edu/~18742/papers/Bakhshalipour2019.pdf	downloaded	Hardware spatial data prefetching.
ipcp-2020	paper	ISCA 2020	Bouquet of Instruction Pointers: IPCP	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/ipcp-2020-isca.pdf	https://www.cse.iitb.ac.in/~biswa/IPCP_ISCA20.pdf	downloaded	Hardware IP-classifier spatial prefetching.
pythia-2021	paper	MICRO 2021	Pythia: A Customizable Hardware Prefetching Framework Using Online Reinforcement Learning	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/pythia-2021-micro.pdf	https://people.inf.ethz.ch/omutlu/pub/Pythia-customizable-hardware-prefetcher-using-reinforcement-learning_micro21.pdf	downloaded	Hardware RL prefetcher with system feedback.
berti-2022	paper	MICRO 2022	Berti: An Accurate Local-Delta Data Prefetcher	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/berti-2022-micro.pdf	https://webdiis.unizar.es/~chus/pubs/2022_MICRO.pdf	downloaded	Local per-instruction delta and timeliness hardware prefetcher.
clip-2023	paper	MICRO 2023	CLIP: Load Criticality based Data Prefetching for Bandwidth-constrained Many-core Systems	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/clip-2023-micro-load-criticality-prefetching.pdf	https://www.cse.iitb.ac.in/~biswa/MICRO23.pdf	downloaded	Prefetch throttling using load criticality under bandwidth constraints.
rpg2-2024	paper	ASPLOS 2024	RPG2: Robust Profile-Guided Runtime Prefetch Generation	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/rpg2-2024-asplos.pdf	https://zyuxuan0115.github.io/files/RPG2_ASPLOS_2024.pdf	downloaded	Runtime profile-guided prefetch insertion/tuning with rollback.
prophet-2025	paper	ISCA 2025	Profile-Guided Temporal Prefetching	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/prophet-2025-isca-profile-guided-temporal-prefetching.pdf	https://zhiyaoxie.com/files/ISCA25_Prophet.pdf	downloaded	Profile-guided metadata management for temporal prefetching.
pickle-2025	paper	arXiv 2025	Pickle Prefetcher: Programmable and Scalable Last-Level Cache Prefetcher	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/pickle-2025-arxiv.pdf	https://arxiv.org/pdf/2511.19973	downloaded	Programmable LLC prefetcher for irregular workloads.
pf-llm-2026	paper	ASPLOS 2026	PF-LLM: Large Language Model Hinted Hardware Prefetching	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/pf-llm-2026-asplos.pdf	https://fact-lab.hkust.edu.hk/publications/conference-paper/2025/xu-2025-pf-llm/3779212.3790202.pdf	downloaded	Offline LLM-generated hardware prefetch hints.
linux-prefetch	opensource	Linux kernel	include/linux/prefetch.h	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/linux-prefetch.h	https://raw.githubusercontent.com/torvalds/linux/master/include/linux/prefetch.h	downloaded	Kernel prefetch macros and preferred stride.
dpdk-prefetch	opensource	DPDK	rte_prefetch.h	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/dpdk-rte-prefetch.h	https://raw.githubusercontent.com/DPDK/dpdk/main/lib/eal/include/generic/rte_prefetch.h	downloaded	Packet-processing prefetch helper API.
llvm-loop-prefetch	opensource	LLVM	LoopDataPrefetch.cpp	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/llvm-loop-data-prefetch.cpp	https://raw.githubusercontent.com/llvm/llvm-project/main/llvm/lib/Transforms/Scalar/LoopDataPrefetch.cpp	downloaded	Open-source loop-data prefetch pass.
llvm-tti	opensource	LLVM	TargetTransformInfo prefetch hooks	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/llvm-target-transform-info.h	https://github.com/llvm/llvm-project/blob/main/llvm/include/llvm/Analysis/TargetTransformInfo.h	downloaded	Target hooks for prefetch distance, stride, iteration-ahead and address-space decisions.
llvm-aarch64-targetmachine	opensource	LLVM	AArch64TargetMachine prefetch pass pipeline	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/llvm-aarch64-targetmachine.cpp	https://github.com/llvm/llvm-project/blob/main/llvm/lib/Target/AArch64/AArch64TargetMachine.cpp	downloaded	AArch64 LoopDataPrefetch and Falkor HWPF fix pipeline reference.
llvm-aarch64-falkor-hwpf	opensource	LLVM	AArch64FalkorHWPFFix.cpp	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/llvm-aarch64-falkor-hwpf-fix.cpp	https://github.com/llvm/llvm-project/blob/main/llvm/lib/Target/AArch64/AArch64FalkorHWPFFix.cpp	downloaded	Microarchitecture-specific hardware prefetcher workaround in LLVM.
llvm-aarch64-isel-lowering	opensource	LLVM	AArch64ISelLowering prefetch lowering	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/llvm-aarch64-isel-lowering.cpp	https://github.com/llvm/llvm-project/blob/main/llvm/lib/Target/AArch64/AArch64ISelLowering.cpp	downloaded	AArch64 ISD::PREFETCH and target intrinsic lowering to AArch64ISD::PREFETCH.
llvm-aarch64-system-operands	opensource	LLVM	AArch64 PRFM operand table	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/llvm-aarch64-system-operands.td	https://github.com/llvm/llvm-project/blob/main/llvm/lib/Target/AArch64/AArch64SystemOperands.td	downloaded	LLVM PRFM option names and encodings including PLDL1KEEP.
llvm-arm-isel-lowering	opensource	LLVM	ARMISelLowering prefetch lowering	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/llvm-arm-isel-lowering.cpp	https://github.com/llvm/llvm-project/blob/main/llvm/lib/Target/ARM/ARMISelLowering.cpp	downloaded	ARM32 ISD::PREFETCH lowering to ARMISD::PRELOAD.
llvm-arm-instr-info	opensource	LLVM	ARMInstrInfo prefetch definitions	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/llvm-arm-instr-info.td	https://github.com/llvm/llvm-project/blob/main/llvm/lib/Target/ARM/ARMInstrInfo.td	downloaded	ARM PLD/PLDW/PLI instruction pattern definitions.
gcc-loop-prefetch	opensource	GCC	tree-ssa-loop-prefetch.cc	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/gcc-tree-ssa-loop-prefetch.cc	https://raw.githubusercontent.com/gcc-mirror/gcc/master/gcc/tree-ssa-loop-prefetch.cc	downloaded	Open-source array loop prefetch pass.
gem5-prefetchers	opensource	gem5	Prefetcher.py	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/gem5-prefetcher.py	https://gem5.googlesource.com/public/gem5/+/refs/heads/stable/src/mem/cache/prefetch/Prefetcher.py?format=TEXT	downloaded	Open-source simulator prefetcher inventory.
pythia-source	opensource	CMU-SAFARI/Pythia	Pythia repository snapshot	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/pythia-repo.zip	https://github.com/CMU-SAFARI/Pythia/archive/refs/heads/master.zip	downloaded	Open-source hardware prefetcher implementation.
qemu-a64-decode	opensource	QEMU	AArch64 decode table	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/qemu-a64-decode	https://raw.githubusercontent.com/qemu/qemu/master/target/arm/tcg/a64.decode	downloaded	QEMU AArch64 decode source marking PRFM as no-op.
qemu-translate-a64	opensource	QEMU	AArch64 translator source	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/opensource/qemu-translate-a64.c	https://raw.githubusercontent.com/qemu/qemu/master/target/arm/tcg/translate-a64.c	downloaded	QEMU AArch64 translator source.
qemu-prfm-nop-mail	web	QEMU mailing list	Re: about armv8's prefetch decode	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/web/qemu-prfm-nop-mail.html	https://lists.gnu.org/archive/html/qemu-devel/2017-03/msg04907.html	downloaded	Discussion explaining that PRFM need not access memory and may be treated as NOP.
