token	arch	round	condition	bench	runtime	sample_index	inner_repeat	exec_ns	wall_exec_ns	exec_cycles	compile_ns	native_code_bytes	bpf_bytecode_bytes	result_ok	passes	perf_error
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_single_first_deref	kernel	0	10000	64	None	None	3577675	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_single_first_deref	kernel	1	10000	64	None	None	3567014	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_single_first_deref	kernel	2	10000	65	None	None	5214661	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_single_first_deref	kernel	3	10000	68	None	None	3581518	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_single_first_deref	kernel	4	10000	64	None	None	3543973	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_packet_first_deref	kernel	0	10000	4038	None	None	10239731	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_packet_first_deref	kernel	1	10000	4046	None	None	10416061	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_packet_first_deref	kernel	2	10000	4046	None	None	10432602	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_packet_first_deref	kernel	3	10000	4046	None	None	10841616	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_packet_first_deref	kernel	4	10000	4077	None	None	10541026	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_single_first_deref	kernel	0	10000	39	8987	22469	9599971	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_single_first_deref	kernel	1	10000	40	5983	14957	9203198	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_single_first_deref	kernel	2	10000	40	5990	14975	11617972	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_single_first_deref	kernel	3	10000	40	7982	19956	9487617	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_single_first_deref	kernel	4	10000	42	6984	17461	9650198	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_packet_first_deref	kernel	0	10000	2358	6985	17462	17080060	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_packet_first_deref	kernel	1	10000	2370	6986	17464	17388721	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_packet_first_deref	kernel	2	10000	1956	6999	17499	16854059	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_packet_first_deref	kernel	3	10000	2045	8985	22462	16934671	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_packet_first_deref	kernel	4	10000	2953	9985	24964	16884681	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_single_first_deref	kernel	0	10000	58	None	None	10665011	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_single_first_deref	kernel	1	10000	58	None	None	10641967	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_single_first_deref	kernel	2	10000	63	None	None	11926661	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_single_first_deref	kernel	3	10000	65	None	None	10768359	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_single_first_deref	kernel	4	10000	64	None	None	11787301	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_packet_first_deref	kernel	0	10000	4047	None	None	19668633	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_packet_first_deref	kernel	1	10000	4042	None	None	20318385	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_packet_first_deref	kernel	2	10000	4041	None	None	19713278	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_packet_first_deref	kernel	3	10000	4040	None	None	19450473	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_packet_first_deref	kernel	4	10000	4038	None	None	19502904	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_single_first_deref	kernel	0	10000	40	5982	14954	3756702	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_single_first_deref	kernel	1	10000	39	5984	14960	3672037	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_single_first_deref	kernel	2	10000	40	7989	19971	6416276	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_single_first_deref	kernel	3	10000	40	6983	17457	3669719	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_single_first_deref	kernel	4	10000	41	7986	19964	3674737	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_packet_first_deref	kernel	0	10000	2485	6984	17460	10288387	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_packet_first_deref	kernel	1	10000	1972	6979	17449	10446084	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_packet_first_deref	kernel	2	10000	2378	8973	22432	10394517	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_packet_first_deref	kernel	3	10000	2422	7983	19958	10859275	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-control	x86	2	control	prefetch_packet_first_deref	kernel	4	10000	2396	6987	17467	10482277	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_single_first_deref	kernel	0	10000	64	None	None	3454158	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_single_first_deref	kernel	1	10000	64	None	None	3877334	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_single_first_deref	kernel	2	10000	64	None	None	5938475	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_single_first_deref	kernel	3	10000	64	None	None	3650952	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_single_first_deref	kernel	4	10000	64	None	None	3558573	600	920	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_packet_first_deref	kernel	0	10000	4037	None	None	11053030	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_packet_first_deref	kernel	1	10000	4041	None	None	10512415	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_packet_first_deref	kernel	2	10000	4043	None	None	10510274	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_packet_first_deref	kernel	3	10000	4047	None	None	10451338	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_packet_first_deref	kernel	4	10000	4046	None	None	10747650	704	1080	True	noop	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_single_first_deref	kernel	0	10000	40	6984	17459	10955678	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_single_first_deref	kernel	1	10000	39	5986	14966	9473942	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_single_first_deref	kernel	2	10000	39	5992	14979	9395819	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_single_first_deref	kernel	3	10000	39	5984	14961	9485851	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_single_first_deref	kernel	4	10000	41	5983	14958	10273231	513	936	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_packet_first_deref	kernel	0	10000	1985	7986	19966	17076058	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_packet_first_deref	kernel	1	10000	2964	6985	17463	16935947	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_packet_first_deref	kernel	2	10000	2043	8987	22467	17026216	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_packet_first_deref	kernel	3	10000	2062	8981	22452	18340828	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r2-treatment	x86	2	treatment	prefetch_packet_first_deref	kernel	4	10000	1976	5981	14954	16939348	595	1096	True	prefetch	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_single_first_deref	kernel	0	10000	65	None	None	11277532	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_single_first_deref	kernel	1	10000	66	None	None	11189007	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_single_first_deref	kernel	2	10000	72	None	None	14151563	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_single_first_deref	kernel	3	10000	65	None	None	11600900	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_single_first_deref	kernel	4	10000	66	None	None	11766513	608	936	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_packet_first_deref	kernel	0	10000	4050	None	None	20510542	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_packet_first_deref	kernel	1	10000	4045	None	None	19929341	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_packet_first_deref	kernel	2	10000	4044	None	None	19973279	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_packet_first_deref	kernel	3	10000	4051	None	None	20241665	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-arm64-r2-treatment	arm64	2	treatment	prefetch_packet_first_deref	kernel	4	10000	4064	None	None	20130545	704	1096	True	prefetch	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
